,cityName,localityName,localityId,latitude,longitude,device_type
0,Delhi NCR,Sarita Vihar,ZWL005764,28.531759,77.293973,1 - Automated weather system
1,Delhi NCR,Faridabad Sector 41-50,ZWL008752,28.460895,77.304764,1 - Automated weather system
2,Delhi NCR,New Friends Colony,ZWL005996,28.565268,77.274971,1 - Automated weather system
3,Delhi NCR,Sector 26 (Noida),ZWL005243,28.574404,77.334178,1 - Automated weather system
4,Delhi NCR,New Industrial Town,ZWL009032,28.375702,77.299442,1 - Automated weather system
5,Delhi NCR,Tilak Nagar,ZWL005428,28.641372,77.094689,1 - Automated weather system
6,Delhi NCR,"Sector 10, Gurgaon",ZWL001073,28.436077,76.996757,1 - Automated weather system
7,Delhi NCR,"Ashok Vihar, Delhi",ZWL001319,28.684453,77.174418,1 - Automated weather system
8,Delhi NCR,Kalkaji,ZWL004800,28.529029,77.258939,1 - Automated weather system
9,Delhi NCR,Sector 53,ZWL003118,28.442743,77.104379,1 - Automated weather system
10,Delhi NCR,Sector 49,ZWL002091,28.408012,77.050064,1 - Automated weather system
11,Delhi NCR,Vasundhara,ZWL002662,28.665225,77.366782,2 - Rain gauge system
12,Delhi NCR,Rajinder Nagar,ZWL001404,28.640732,77.182900,1 - Automated weather system
13,Delhi NCR,Safdarjung Enclave,ZWL008963,28.562608,77.191457,1 - Automated weather system
14,Delhi NCR,Connaught Place,ZWL006538,28.630630,77.220640,1 - Automated weather system
15,Delhi NCR,Sector 66,ZWL003075,28.380856,77.062751,1 - Automated weather system
16,Delhi NCR,Sector 57,ZWL003721,28.422100,77.082740,1 - Automated weather system
17,Delhi NCR,"Moti Bagh, Delhi",ZWL006396,28.575774,77.180697,1 - Automated weather system
18,Delhi NCR,"Patel Nagar, Delhi",ZWL004535,28.652848,77.167909,1 - Automated weather system
19,Delhi NCR,Greater Noida,ZWL008554,28.456171,77.521577,1 - Automated weather system
20,Delhi NCR,"Karkardooma, Delhi",ZWL004533,28.656829,77.310553,1 - Automated weather system
21,Delhi NCR,Tigaon,ZWL002179,28.417120,77.412569,1 - Automated weather system
22,Delhi NCR,Sector 50 (Noida),ZWL007487,28.569103,77.364876,1 - Automated weather system
23,Delhi NCR,"Vasant Kunj, Delhi",ZWL007120,28.524633,77.151206,1 - Automated weather system
24,Delhi NCR,"Dwarka, Delhi",ZWL007486,28.594467,77.047747,1 - Automated weather system
25,Delhi NCR,Sector 15,ZWL006287,28.457927,77.034816,1 - Automated weather system
26,Delhi NCR,Mayur Vihar Phase III,ZWL002146,28.606000,77.323675,1 - Automated weather system
27,Delhi NCR,Crossing Republik,ZWL008405,28.635043,77.419056,1 - Automated weather system
28,Delhi NCR,Sector 28,ZWL004455,28.473457,77.087532,1 - Automated weather system
29,Delhi NCR,"Palam Vihar, Gurgaon",ZWL005087,28.508782,77.033506,1 - Automated weather system
30,Delhi NCR,Sector 63 (Noida),ZWL009648,28.621672,77.386474,1 - Automated weather system
31,Delhi NCR,"Raj Nagar, Ghaziabad",ZWL008317,28.689174,77.428976,1 - Automated weather system
32,Delhi NCR,Sector 128,ZWL005878,28.526706,77.354868,1 - Automated weather system
33,Delhi NCR,"Sector 56, Gurgaon",ZWL003241,28.418235,77.101860,1 - Automated weather system
34,Delhi NCR,Indirapuram,ZWL007224,28.644059,77.373883,1 - Automated weather system
35,Delhi NCR,Malviya Nagar,ZWL009834,28.536048,77.213453,1 - Automated weather system
36,Delhi NCR,"Sector 43, Gurgaon",ZWL007284,28.454416,77.088820,1 - Automated weather system
37,Delhi NCR,Sector 120 (Noida),ZWL006738,28.586854,77.390832,1 - Automated weather system
38,Delhi NCR,Saket,ZWL007329,28.523171,77.207543,1 - Automated weather system
39,Delhi NCR,Sector 18 (Noida),ZWL001752,28.568937,77.324414,2 - Rain gauge system
40,Delhi NCR,Naraina,ZWL007594,28.627479,77.142115,2 - Rain gauge system
41,Delhi NCR,Patparganj,ZWL006116,28.632961,77.308344,1 - Automated weather system
42,Delhi NCR,Ghitorni,ZWL009925,28.486412,77.125366,1 - Automated weather system
43,Delhi NCR,Faridabad Sector 1-11,ZWL009335,28.365131,77.326157,1 - Automated weather system
44,Delhi NCR,Sector 24,ZWL009638,28.497419,77.090980,1 - Automated weather system
45,Delhi NCR,Rajouri Garden,ZWL005670,28.646438,77.122357,2 - Rain gauge system
46,Delhi NCR,Vishnu Garden,ZWL003757,28.646933,77.095064,1 - Automated weather system
